Usage statistics start at 05:00 each day
,Energy.AHS_N1-DG-kWh-Energy (Trend1),Energy.AHS_N1-DHB - kWh Total (Trend1),Energy.AHS_N1-DL-Energy-kWh (Trend1),Energy.AHS_N1-Main-kWh-Energy (Trend1),Energy.CollinCtr-Energy-kWh (Trend1),Energy.M1-kWh-Energy (Trend1)
2015-12-31,385.29999999998836,203.91999999999825,224.29999999998836,1307.0,206.70000000001164,0.11000000000058208
2016-01-01,999.0,326.1000000000058,554.2000000000116,3401.0,558.2999999999884,0.3099999999976717
2016-01-02,1077.5,305.08000000000175,555.7000000000116,3492.0,506.79999999998836,0.36999999999898137
2016-01-03,1080.0,193.04999999998836,565.7999999999884,3815.0,1008.3000000000029,0.3500000000021828
2016-01-04,1866.2000000000116,583.1800000000076,1656.7999999999884,7238.0,1414.3999999999942,0.0
2016-01-05,1712.6000000000058,560.3500000000058,1617.3999999999942,6911.0,1396.9000000000087,0.0
2016-01-06,1850.6000000000058,591.2200000000012,1604.1000000000058,6894.0,1309.5,0.38000000000101863
2016-01-07,1744.7999999999884,626.3099999999977,1619.3999999999942,6593.0,1043.3999999999942,0.3599999999969441
2016-01-08,1754.2000000000116,533.5500000000029,1528.2000000000116,6527.0,1410.199999999997,0.38000000000101863
2016-01-09,994.0999999999767,191.3799999999901,582.2999999999884,4261.0,1829.0,0.31999999999970896
2016-01-10,1144.2999999999884,196.92999999999302,573.2000000000116,3485.0,946.8000000000029,0.5599999999976717
2016-01-11,1741.6000000000058,567.3300000000017,1580.1999999999825,6363.0,864.2999999999884,0.1500000000014552
2016-01-12,1832.3000000000175,591.8600000000006,1581.7000000000116,6701.0,1116.800000000003,0.23999999999796273
2016-01-13,1321.2999999999884,585.7900000000081,1599.2999999999884,6457.0,1335.5,0.07000000000334694
2016-01-14,1337.2000000000116,586.6500000000087,1562.7999999999884,6388.0,1254.1000000000058,0.13999999999941792
2016-01-15,1587.6999999999825,542.0200000000041,1602.1000000000058,6265.0,1142.300000000003,0.3400000000001455
2016-01-16,858.8999999999942,229.47000000000116,598.7000000000116,3195.0,461.0,0.19999999999708962
2016-01-17,1005.0,235.35000000000582,603.5,3499.0,567.0999999999913,0.18000000000029104
2016-01-18,932.6999999999825,237.11000000000058,604.3000000000175,3930.0,997.0999999999913,0.030000000002473826
2016-01-19,1586.6000000000058,561.6500000000087,1593.5999999999767,6879.0,1514.7999999999884,0.0
2016-01-20,1401.6000000000058,563.6900000000023,1607.5999999999767,6551.0,1344.6000000000058,0.09999999999854481
2016-01-21,1250.1000000000058,557.7900000000081,1611.3999999999942,6197.0,1137.699999999997,0.13000000000101863
2016-01-22,1411.2000000000116,533.8300000000017,1552.0999999999767,6005.0,930.6999999999971,0.09000000000014552
2016-01-23,966.0,232.44000000000233,630.0,3866.0,852.6000000000058,0.0
2016-01-24,959.0,216.0,775.5,3702.0,634.0,0.2599999999983993
2016-01-25,1227.6000000000058,531.4199999999983,1513.1000000000058,5813.0,999.9999999999854,0.37000000000261934
2016-01-26,1353.7000000000116,560.4400000000023,1421.8999999999942,5553.0,1006.1000000000058,0.7099999999991269
2016-01-27,1229.5999999999767,492.0399999999936,1347.5,5192.0,742.3999999999942,0.47000000000116415
2016-01-28,1289.7999999999884,563.7299999999959,1621.0,5820.0,851.5999999999767,0.47999999999956344
2016-01-29,1242.1000000000058,507.5899999999965,1297.3000000000175,5435.0,958.2999999999884,0.4000000000014552
2016-01-30,1041.3000000000175,199.88000000000466,693.8999999999942,3366.0,239.40000000002328,0.6199999999989814
2016-01-31,1179.2999999999884,200.6999999999971,663.8999999999942,3674.0,584.3000000000175,0.75
2016-02-01,1235.8000000000175,558.1399999999994,1598.1000000000058,5231.0,621.4000000000233,11.150000000001455
2016-02-02,1193.0,548.25,1616.6000000000058,5958.0,1180.1000000000058,0.5099999999983993
2016-02-03,1239.1000000000058,620.8500000000058,1659.0,5726.0,891.3999999999942,0.6300000000010186
2016-02-04,1225.6999999999825,591.6399999999994,1619.6000000000058,5109.0,605.6000000000058,0.6599999999998545
2016-02-05,868.2999999999884,355.86999999999534,914.3999999999942,4089.0,557.8000000000175,0.08000000000174623
2016-02-06,645.3999999999942,245.13000000000466,665.1999999999825,3677.0,1051.0,0.3400000000001455
2016-02-07,735.0,210.4499999999971,609.8999999999942,3130.0,690.0,0.5099999999983993
2016-02-08,756.6999999999825,258.7399999999907,748.2000000000116,3731.0,837.8999999999942,0.0
2016-02-09,1289.3999999999942,543.0899999999965,1618.5,6167.0,1157.0,0.08000000000174623
2016-02-10,1245.0,564.4000000000087,1602.8999999999942,5897.0,914.5,0.2599999999983993
2016-02-11,1422.0999999999767,652.8800000000047,1742.6999999999825,6829.0,1316.2999999999884,0.06000000000130967
2016-02-12,1202.2999999999884,493.14000000001397,1518.2000000000116,6409.0,1594.6000000000058,0.06999999999970896
2016-02-13,853.7000000000116,196.91999999999825,695.0,4962.0,1942.1000000000058,0.0
2016-02-14,719.0999999999767,201.0,806.1999999999825,5214.0,2026.8999999999942,0.0
2016-02-15,646.7999999999884,209.14999999999418,763.8999999999942,3678.0,975.3999999999942,0.029999999998835847
2016-02-16,798.2999999999884,291.06999999999243,888.8000000000175,3508.0,741.2999999999884,0.6899999999986903
2016-02-17,537.2999999999884,287.54000000000815,861.2999999999884,3716.0,848.1999999999825,0.3900000000030559
2016-02-18,832.0,323.1499999999942,815.0,4203.0,955.3000000000175,0.17999999999665306
2016-02-19,474.1000000000058,271.9499999999971,848.0,3161.0,474.5,0.46000000000276486
2016-02-20,372.5,197.92999999999302,705.8999999999942,2240.0,346.3999999999942,0.7199999999975262
2016-02-21,437.0,218.35000000000582,749.7000000000116,2710.0,659.1000000000058,0.7299999999995634
2016-02-22,1181.8999999999942,548.5599999999977,1553.6999999999825,5734.0,950.1000000000058,0.3900000000030559
2016-02-23,1193.8999999999942,549.3099999999977,1648.6999999999825,5757.0,1031.1000000000058,0.37999999999738066
2016-02-24,1123.3000000000175,557.5299999999988,1600.3000000000175,5678.0,1011.8999999999942,0.5400000000008731
